ENGLISH CATEGORY,中文類別,ENGLISH NAME,中文名稱,ENGLISH ADDRESS,中文地址,LONGITUDE,經度,LATITUDE,緯度,EASTING,坐標東,NORTHING,坐標北,SCHOOL NO.,SCHOOL NO.,STUDENTS GENDER,就讀學生性別,SESSION,學校授課時間,DISTRICT,分區,FINANCE TYPE,資助種類,SCHOOL LEVEL,學校類型,OPENING HOURS,開放時間,TELEPHONE,聯絡電話,FAX NUMBER,傳真號碼,EMAIL ADDRESS,電郵地址,WEBSITE,網頁,RELIGION,宗教,
Kindergartens,幼稚園,NAM YING KINDERGARTEN (P.M.),南英幼稚園(下午),G/F 67 WING HING STREET PENG CHAU NEW TERRITORIES,新界坪洲永興街67號,114-2-16,114-2-16,22-16-57,22-16-57,821933,821933,815960,815960,156698000112,156698000112,CO-ED,男女,P.M.,下午,ISLANDS,離島區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,29838811,29838811,29838811,29838811,,,,,NOT APPLICABLE,不適用,
Kindergartens,幼稚園,REGINA COELI ANGLO-CHINESE KG (2ND BR) (A.M.),天后中英文幼稚園(二校)(上午),"11 - 16, G/F, MOON YU HOUSE SAM SHING ESTATE TUEN MUN NEW TERRITORIES",新界屯門三聖邨滿漁樓地下11-16號,113-58-43,113-58-43,22-22-52,22-22-52,815846,815846,826885.7,826885.7,156728000111,156728000111,CO-ED,男女,A.M.,上午,TUEN MUN,屯門區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,24580796,24580796,24580796,24580796,,,http://www.rck.edu.hk,http://www.rck.edu.hk,CATHOLICISM,天主教,
Kindergartens,幼稚園,YAN CHAI HOSPITAL YIM TSUI YUK SHAN KG(P.M.),仁濟醫院嚴徐玉珊幼稚園(下午),RM 201 2/F PO TIN SHOPPING CENTRE PO TIN INTERIM HOUSING TUEN MUN NEW TERRITORIES,新界屯門鳴琴路寶田邨寶田商場2樓201室,113-58-0,113-58-0,22-24-33,22-24-33,814630.4,814630.4,830008.6,830008.6,539163000112,539163000112,CO-ED,男女,P.M.,下午,TUEN MUN,屯門區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,24668966,24668966,24662277,24662277,,,http://www.ytyskg.edu.hk,http://www.ytyskg.edu.hk,NOT APPLICABLE,不適用,
Kindergartens,幼稚園,CATILINE ANGLO-CHINESE KINDERGARTEN (A.M.),嘉德麗中英文幼稚園(上午),G/F BLOCKS 34 35 & 36 SHAIN CITY ONE PHASE 3C STTL 1 SECTION L SHATIN NEW TERRITORIES,"新界沙田第一城34,35及36座地下",114-12-17,114-12-17,22-23-8,22-23-8,839134.5,839134.5,827380.4,827380.4,231266000111,231266000111,CO-ED,男女,A.M.,上午,SHA TIN,沙田區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,26463988,26463988,26476047,26476047,,,http://www.catiline.edu.hk,http://www.catiline.edu.hk,NOT APPLICABLE,不適用,
Kindergartens,幼稚園,ROCK OF AGES LUTHERAN KINDERGARTEN (A.M.),路德會恩石幼稚園(上午),"NO 1, G/F, SHEK SAU HOUSE SHEK LEI (I) ESTATE KWAI CHUNG NEW TERRITORIES",新界葵涌石籬一邨石秀樓地下1號,114-8-14,114-8-14,22-21-44,22-21-44,832179.6,832179.6,824790.7,824790.7,157856000111,157856000111,CO-ED,男女,A.M.,上午,KWAI TSING,葵青區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,24874607,24874607,24815762,24815762,,,,,PROTESTANTISM / CHRISTIANITY,基督教,
Kindergartens,幼稚園,HK AND MACAU LUTHERAN CH SHEK ON MEM KG(P.M.),港澳信義會錫安紀念幼稚園(下午),2-3/F SHEK ON BUILDING 11 PO KONG VILLAGE ROAD WONG TAI SIN KOWLOON,九龍黃大仙蒲崗村道11號鍚安樓2及3樓,114-11-53,114-11-53,22-20-25,22-20-25,838438.3,838438.3,822366.6,822366.6,325090000112,325090000112,CO-ED,男女,P.M.,下午,WONG TAI SIN,黃大仙區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,23283681,23283681,23235292,23235292,,,,,PROTESTANTISM / CHRISTIANITY,基督教,
Kindergartens,幼稚園,MORNINGSTAR KINDERGARTEN (A.M.),MORNINGSTAR KINDERGARTEN (A.M.),BLOCK H2 G/F CHI FU FA YUEN POKFULAM HONG KONG,香港薄扶林置富花園地下H2座,114-8-21,114-8-21,22-15-20,22-15-20,832392.5,832392.5,812966.2,812966.2,587630000111,587630000111,CO-ED,男女,A.M.,上午,SOUTHERN,南區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,97365241,97365241,,,,,,,NOT APPLICABLE,不適用,
Kindergartens,幼稚園,YL CHURCH (CCC) CHAN KWONG NO. 2 KG(P.M.),中華基督教會元朗堂真光幼稚園二校(下午),NO 9 PING SHUN STREET YUEN LONG NEW TERRITORIES,新界元朗屏信街9號,114-1-28,114-1-28,22-26-49,22-26-49,820591.5,820591.5,834171.5,834171.5,570885000112,570885000112,CO-ED,男女,P.M.,下午,YUEN LONG,元朗區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,24765623,24765623,24758718,24758718,,,http://www.chankwong.edu.hk,http://www.chankwong.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教,
Kindergartens,幼稚園,HK VERNACULAR NORMAL SCH ALUMNI ASSN SCH(P.M.),香港漢文師範同學會學校(下午),KIL 6719 SAI YEE STREET KOWLOON,九龍洗衣街九龍內地段6719號,114-10-20,114-10-20,22-19-3,22-19-3,835799,835799,819830,819830,130060000112,130060000112,CO-ED,男女,P.M.,下午,YAU TSIM MONG,油尖旺區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,27704604,27704604,23840633,23840633,,,http://www.hvnsaas.edu.hk,http://www.hvnsaas.edu.hk,NOT APPLICABLE,不適用,
Kindergartens,幼稚園,SUNG KEI KINDERGARTEN (A.M.),崇基幼稚園(上午),G/F BLK 6 KWAI SHING WEST ESTATE KWAI CHUNG NEW TERRITORIES,新界葵涌葵盛西邨第6座地下,114-7-18,114-7-18,22-21-42,22-21-42,830592.7,830592.7,824725.6,824725.6,156426000111,156426000111,CO-ED,男女,A.M.,上午,KWAI TSING,葵青區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,24271128,24271128,24192372,24192372,,,,,NOT APPLICABLE,不適用,
